"","nom","code_postal_1","code_postal_2","code_postal_3","code_insee","arrondissement","canton","intercommunalité","superficie","population","densite"
"1","Strasbourg",67000,67100,67200,67482,"Strasbourg","Strasbourg-1","Eurométropole de Strasbourg",78.26,279284,3569
"2","Achenheim",67204,NA,NA,67001,"Strasbourg","Lingolsheim","Eurométropole de Strasbourg",6.03,2082,345
"3","Adamswiller",67320,NA,NA,67002,"Saverne","Ingwiller","CC de l'Alsace Bossue",3.4,377,111
"4","Albé",67220,NA,NA,67003,"Sélestat-Erstein","Mutzig","CC de la Vallée de Villé",10.83,456,42
"5","Alteckendorf",67270,NA,NA,67005,"Saverne","Bouxwiller","CC du Pays de la Zorn",5.72,884,155
"6","Altenheim",67490,NA,NA,67006,"Saverne","Saverne","CC du Pays de Saverne",2.71,210,77
"7","Altorf",67120,NA,NA,67008,"Molsheim","Molsheim","CC de la région de Molsheim-Mutzig",10.19,1273,125
"8","Altwiller",67260,NA,NA,67009,"Saverne","Ingwiller","CC de l'Alsace Bossue",16.22,406,25
"9","Andlau",67140,NA,NA,67010,"Sélestat-Erstein","Obernai","CC du Pays de Barr",23.69,1744,74
"10","Artolsheim",67390,NA,NA,67011,"Sélestat-Erstein","Sélestat","CC de Marckolsheim et environs",11.25,995,88
"11","Aschbach",67250,NA,NA,67012,"Haguenau-Wissembourg","Wissembourg","CC de l'Outre-Forêt",4.32,700,162
"12","Asswiller",67320,NA,NA,67013,"Saverne","Ingwiller","CC de l'Alsace Bossue",6.02,282,47
"13","Avolsheim",67120,NA,NA,67016,"Molsheim","Molsheim","CC de la région de Molsheim-Mutzig",1.83,727,397
"14","Baerendorf",67320,NA,NA,67017,"Saverne","Ingwiller","CC de l'Alsace Bossue",7.53,308,41
"15","Balbronn",67310,NA,NA,67018,"Molsheim","Saverne","CC de la Mossig et du Vignoble",10.18,649,64
"16","Baldenheim",67600,NA,NA,67019,"Sélestat-Erstein","Sélestat","CC de Sélestat",9.44,1161,123
"17","Barembach",67130,NA,NA,67020,"Molsheim","Mutzig","CC de la Vallée de la Bruche",9.92,892,90
"18","Barr",67140,NA,NA,67021,"Sélestat-Erstein","Obernai","CC du Pays de Barr",20.61,7215,350
"19","Bassemberg",67220,NA,NA,67022,"Sélestat-Erstein","Mutzig","CC de la Vallée de Villé",1.78,255,143
"20","Batzendorf",67500,NA,NA,67023,"Haguenau-Wissembourg","Haguenau","CA de Haguenau",6.74,993,147
"21","Beinheim",67930,NA,NA,67025,"Haguenau-Wissembourg","Wissembourg","CC de la Plaine du Rhin",15.23,1869,123
"22","Bellefosse",67130,NA,NA,67026,"Molsheim","Mutzig","CC de la Vallée de la Bruche",7.34,149,20
"23","Belmont",67130,NA,NA,67027,"Molsheim","Mutzig","CC de la Vallée de la Bruche",10.34,162,16
"24","Benfeld",67230,NA,NA,67028,"Sélestat-Erstein","Erstein","CC du Canton d'Erstein",7.79,5738,737
"25","Berg",67320,NA,NA,67029,"Saverne","Ingwiller","CC de l'Alsace Bossue",7.72,367,48
"26","Bergbieten",67310,NA,NA,67030,"Molsheim","Molsheim","CC de la Mossig et du Vignoble",4.24,699,165
"27","Bernardswiller",67210,NA,NA,67031,"Sélestat-Erstein","Obernai","CC du Pays de Sainte-Odile",5.53,1457,263
"28","Bernardvillé",67140,NA,NA,67032,"Sélestat-Erstein","Obernai","CC du Pays de Barr",2.76,230,83
"29","Bernolsheim",67170,NA,NA,67033,"Haguenau-Wissembourg","Brumath","CA de Haguenau",3.39,602,178
"30","Berstett",67370,NA,NA,67034,"Saverne","Bouxwiller","CC du Kochersberg",17.88,2425,136
"31","Berstheim",67170,NA,NA,67035,"Haguenau-Wissembourg","Haguenau","CA de Haguenau",3.09,438,142
"32","Betschdorf",67660,NA,NA,67339,"Haguenau-Wissembourg","Wissembourg","CC de l'Outre-Forêt",28.11,4137,147
"33","Bettwiller",67320,NA,NA,67036,"Saverne","Ingwiller","CC de l'Alsace Bossue",4.06,309,76
"34","Biblisheim",67360,NA,NA,67037,"Haguenau-Wissembourg","Reichshoffen","CC Sauer-Pechelbronn",2.24,349,156
"35","Bietlenheim",67720,NA,NA,67038,"Haguenau-Wissembourg","Brumath","CC de la Basse-Zorn",2.13,266,125
"36","Bilwisheim",67170,NA,NA,67039,"Haguenau-Wissembourg","Brumath","CA de Haguenau",2.56,463,181
"37","Bindernheim",67600,NA,NA,67040,"Sélestat-Erstein","Sélestat","CC de Marckolsheim et environs",6.62,1025,155
"38","Bischheim",67800,NA,NA,67043,"Strasbourg","Schiltigheim","Eurométropole de Strasbourg",4.41,17180,3896
"39","Bischholtz",67340,NA,NA,67044,"Saverne","Ingwiller","CC de Hanau-La Petite Pierre",2.39,280,117
"40","Bischoffsheim",67870,NA,NA,67045,"Molsheim","Molsheim","CC des Portes de Rosheim",12.33,3332,270
"41","Bischwiller",67240,NA,NA,67046,"Haguenau-Wissembourg","Bischwiller","CA de Haguenau",17.25,12561,728
"42","Bissert",67260,NA,NA,67047,"Saverne","Ingwiller","CC de l'Alsace Bossue",3.37,156,46
"43","Bitschhoffen",67350,NA,NA,67048,"Haguenau-Wissembourg","Reichshoffen","CA de Haguenau",2.54,452,178
"44","Blaesheim",67113,NA,NA,67049,"Strasbourg","Lingolsheim","Eurométropole de Strasbourg",9.96,1325,133
"45","Blancherupt",67130,NA,NA,67050,"Molsheim","Mutzig","CC de la Vallée de la Bruche",2.65,38,14
"46","Blienschwiller",67650,NA,NA,67051,"Sélestat-Erstein","Obernai","CC du Pays de Barr",3.07,325,106
"47","Bœrsch",67530,NA,NA,67052,"Molsheim","Molsheim","CC des Portes de Rosheim",23.39,2432,104
"48","Bœsenbiesen",67390,NA,NA,67053,"Sélestat-Erstein","Sélestat","CC de Marckolsheim et environs",3.81,316,83
"49","Bolsenheim",67150,NA,NA,67054,"Sélestat-Erstein","Erstein","CC du Canton d'Erstein",4.35,517,119
"50","Boofzheim",67860,NA,NA,67055,"Sélestat-Erstein","Erstein","CC du Canton d'Erstein",11.94,1363,114
"51","Bootzheim",67390,NA,NA,67056,"Sélestat-Erstein","Sélestat","CC de Marckolsheim et environs",5.91,724,123
"52","Bosselshausen",67330,NA,NA,67057,"Saverne","Bouxwiller","CC de Hanau-La Petite Pierre",3.29,162,49
"53","Bossendorf",67270,NA,NA,67058,"Saverne","Bouxwiller","CC du Pays de la Zorn",3.98,399,100
"54","Bourg-Bruche",67420,NA,NA,67059,"Molsheim","Mutzig","CC de la Vallée de la Bruche",15.02,469,31
"55","Bourgheim",67140,NA,NA,67060,"Sélestat-Erstein","Obernai","CC du Pays de Barr",2.83,616,218
"56","Bouxwiller",67330,NA,NA,67061,"Saverne","Bouxwiller","CC de Hanau-La Petite Pierre",25.59,4062,159
"57","Breitenau",67220,NA,NA,67062,"Sélestat-Erstein","Mutzig","CC de la Vallée de Villé",4.29,305,71
"58","Breitenbach",67220,NA,NA,67063,"Sélestat-Erstein","Mutzig","CC de la Vallée de Villé",11.73,674,57
"59","Breuschwickersheim",67112,NA,NA,67065,"Strasbourg","Lingolsheim","Eurométropole de Strasbourg",5.06,1258,249
"60","Brumath",67170,NA,NA,67067,"Haguenau-Wissembourg","Brumath","CA de Haguenau",29.54,9913,336
"61","Buhl",67470,NA,NA,67069,"Haguenau-Wissembourg","Wissembourg","CC de la Plaine du Rhin",4.4,526,120
"62","Burbach",67260,NA,NA,67070,"Saverne","Ingwiller","CC de l'Alsace Bossue",6.34,271,43
"63","Bust",67320,NA,NA,67071,"Saverne","Ingwiller","CC de l'Alsace Bossue",6.76,459,68
"64","Buswiller",67350,NA,NA,67068,"Saverne","Bouxwiller","CC de Hanau-La Petite Pierre",2.3,271,118
"65","Butten",67430,NA,NA,67072,"Saverne","Ingwiller","CC de l'Alsace Bossue",15.19,674,44
"66","Châtenois",67730,NA,NA,67073,"Sélestat-Erstein","Sélestat","CC de Sélestat",14.57,4158,285
